dataset,source,source_file,title,category,category_label,slug,url,soc_code,major_group_code,major_group_label,minor_group_code,minor_group_label,num_jobs_2021,num_jobs_2022,num_jobs_2023,num_jobs_2024,trend_pct_2021_2024,trend_desc,employment_change_2021_2024,dominant_industry_code,dominant_industry,dominant_industry_jobs,dominant_industry_share,suppressed_cells_2021,suppressed_cells_2022,suppressed_cells_2023,suppressed_cells_2024,missing_cells_2024,median_pay_annual
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Chief executives and senior officials,managers-directors-and-senior-officials,"Managers, directors and senior officials",chief-executives-and-senior-officials,,1111,1,"Managers, directors and senior officials",111,Chief Executives and Senior Officials,139584,131309,110256,154662,10.8,Growing,15078,M,"Prof, scientific, technical activ.",30687,0.1984,1,3,4,3,0,81776
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Elected officers and representatives,managers-directors-and-senior-officials,"Managers, directors and senior officials",elected-officers-and-representatives,,1112,1,"Managers, directors and senior officials",111,Chief Executives and Senior Officials,9219,8221,8993,7661,-16.9,Sharp decline,-1558,O,Public admin and defence,7661,1.0,6,6,4,5,13,
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Production managers and directors in manufacturing,managers-directors-and-senior-officials,"Managers, directors and senior officials",production-managers-and-directors-in-manufacturing,,1121,1,"Managers, directors and senior officials",112,Production Managers and Directors,249945,249367,267391,243468,-2.6,Broadly flat,-6477,C,Manufacturing,135065,0.5548,2,1,2,5,0,49791
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Production managers and directors in construction,managers-directors-and-senior-officials,"Managers, directors and senior officials",production-managers-and-directors-in-construction,,1122,1,"Managers, directors and senior officials",112,Production Managers and Directors,166291,167596,155425,163534,-1.7,Broadly flat,-2757,F,Construction,120593,0.7374,4,8,4,5,3,52148
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Production managers and directors in mining and energy,managers-directors-and-senior-officials,"Managers, directors and senior officials",production-managers-and-directors-in-mining-and-energy,,1123,1,"Managers, directors and senior officials",112,Production Managers and Directors,27018,22182,6392,6124,-77.3,Sharp decline,-20894,B,Mining and quarrying,3135,0.5119,4,5,7,6,10,53944
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Financial managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",financial-managers-and-directors,,1131,1,"Managers, directors and senior officials",113,Functional Managers and Directors,324729,318620,416756,404723,24.6,Rapid growth,79994,K,Financial and insurance activities,131480,0.3249,2,0,2,1,0,68497
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,"Marketing, sales and advertising directors",managers-directors-and-senior-officials,"Managers, directors and senior officials",marketing-sales-and-advertising-directors,,1132,1,"Managers, directors and senior officials",113,Functional Managers and Directors,263135,277121,221531,263688,0.2,Broadly flat,553,M,"Prof, scientific, technical activ.",83337,0.316,1,2,2,2,0,82962
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Public relations and communications directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",public-relations-and-communications-directors,,1133,1,"Managers, directors and senior officials",113,Functional Managers and Directors,10758,11888,36461,26886,149.9,Rapid growth,16128,M,"Prof, scientific, technical activ.",15063,0.5603,4,5,8,5,7,73519
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Purchasing managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",purchasing-managers-and-directors,,1134,1,"Managers, directors and senior officials",113,Functional Managers and Directors,44021,57999,70851,64306,46.1,Rapid growth,20285,C,Manufacturing,13474,0.2095,6,3,4,6,0,52783
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Charitable organisation managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",charitable-organisation-managers-and-directors,,1135,1,"Managers, directors and senior officials",113,Functional Managers and Directors,52534,50040,40662,37219,-29.2,Sharp decline,-15315,Q,Health and social work,32297,0.8678,6,5,4,4,12,
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Human resource managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",human-resource-managers-and-directors,,1136,1,"Managers, directors and senior officials",113,Functional Managers and Directors,229297,239715,218597,230955,0.7,Broadly flat,1658,N,Admin and support services,38699,0.1676,0,1,2,2,1,50307
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Information technology directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",information-technology-directors,,1137,1,"Managers, directors and senior officials",113,Functional Managers and Directors,191103,176960,141222,154857,-19.0,Sharp decline,-36246,J,Information and communication,65939,0.4258,4,1,5,3,2,81402
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Functional managers and directors n.e.c.,managers-directors-and-senior-officials,"Managers, directors and senior officials",functional-managers-and-directors-n-e-c,,1139,1,"Managers, directors and senior officials",113,Functional Managers and Directors,84976,88658,158804,161490,90.0,Rapid growth,76514,M,"Prof, scientific, technical activ.",31881,0.1974,4,2,3,2,0,69015
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,"Directors in logistics, warehousing and transport",managers-directors-and-senior-officials,"Managers, directors and senior officials",directors-in-logistics-warehousing-and-transport,,1140,1,"Managers, directors and senior officials",114,"Directors in Logistics, Warehousing and Transport",18089,25107,18795,23593,30.4,Rapid growth,5504,H,Transport and storage,14229,0.6031,4,7,6,8,5,76138
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Managers and directors in retail and wholesale,managers-directors-and-senior-officials,"Managers, directors and senior officials",managers-and-directors-in-retail-and-wholesale,,1150,1,"Managers, directors and senior officials",115,Managers and Directors in Retail and Wholesale,306558,285842,311323,304584,-0.6,Broadly flat,-1974,G,"Wholesale, retail, repair of vehicles",230569,0.757,3,3,5,4,1,34784
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Officers in armed forces,managers-directors-and-senior-officials,"Managers, directors and senior officials",officers-in-armed-forces,,1161,1,"Managers, directors and senior officials",116,Senior Officers in Protective Services,23288,25697,26163,23082,-0.9,Broadly flat,-206,O,Public admin and defence,23082,1.0,5,6,6,5,13,
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Senior police officers,managers-directors-and-senior-officials,"Managers, directors and senior officials",senior-police-officers,,1162,1,"Managers, directors and senior officials",116,Senior Officers in Protective Services,17574,14646,12357,12951,-26.3,Sharp decline,-4623,O,Public admin and defence,12951,1.0,3,3,1,1,17,63986
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,"Senior officers in fire, ambulance, prison and related servi",managers-directors-and-senior-officials,"Managers, directors and senior officials",senior-officers-in-fire-ambulance-prison-and-related-servi,,1163,1,"Managers, directors and senior officials",116,Senior Officers in Protective Services,12198,13110,9574,8147,-33.2,Sharp decline,-4051,O,Public admin and defence,6523,0.8007,1,3,3,0,17,
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Health services and public health managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",health-services-and-public-health-managers-and-directors,,1171,1,"Managers, directors and senior officials",117,Health and Social Services Managers and Directors,54299,51662,71991,79063,45.6,Rapid growth,24764,Q,Health and social work,46921,0.5935,4,7,6,6,7,
uk-ons-aps,Office for National Statistics Annual Population Survey,employmentby4digitsoc1digitindustryatosuk20212024final.xlsx,Social services managers and directors,managers-directors-and-senior-officials,"Managers, directors and senior officials",social-services-managers-and-directors,,1172,1,"Managers, directors and senior officials",117,Health and Social Services Managers and Directors,40173,39437,36320,36969,-8.0,Declining,-3204,Q,Health and social work,24786,0.6705,6,10,6,2,12,40084
